sequence_number,ecn,ccy_pair,timestamp_ns,bid_price,bid_size,ask_price,ask_size
40,FENICS,NZDUSD,1742900478000000000,0.60122,2800,0.60140,2200
# t+85s — GBPUSD levels 4-5 bid restored after thinning
41,FENICS,GBPUSD,1742900485000000000,1.27318,8000,1.27402,7000
42,FENICS,GBPUSD,1742900485200000000,1.27308,11000,1.27412,10000
# t+92s — AUDUSD level 5 both sides deleted (drop to 4-level book)
43,FENICS,AUDUSD,1742900492000000000,0.65735,0,0.65835,0
# t+100s — NZDUSD uptick burst (3 in 2ms)
44,FENICS,NZDUSD,1742900500000000000,0.60125,2600,0.60142,2000
45,FENICS,NZDUSD,1742900500001000000,0.60128,2400,0.60144,1800
46,FENICS,NZDUSD,1742900500002000000,0.60130,2200,0.60146,1600
# t+110s — GBPUSD level 1 bid drops sharply
47,FENICS,GBPUSD,1742900510000000000,1.27330,2000,1.27368,4000
# t+120s — AUDUSD level 5 restored with fresh liquidity
48,FENICS,AUDUSD,1742900520000000000,0.65738,7000,0.65832,6000
# t+128s — NZDUSD levels 3-4 refreshed
49,FENICS,NZDUSD,1742900528000000000,0.60098,6500,0.60158,6000
50,FENICS,NZDUSD,1742900528200000000,0.60088,8500,0.60168,8000
# t+138s — GBPUSD stabilises, top-of-book narrows
51,FENICS,GBPUSD,1742900538000000000,1.27342,4000,1.27362,3500
# t+148s — AUDUSD level 1 bid deleted (ask remains — one-sided top)
52,FENICS,AUDUSD,1742900548000000000,0.65775,0,0.65792,2800
# t+155s — NZDUSD level 1 ask drops (spread tightens to 1 pip)
53,FENICS,NZDUSD,1742900555000000000,0.60130,2200,0.60140,2000
# t+162s — AUDUSD level 1 bid restored
54,FENICS,AUDUSD,1742900562000000000,0.65778,3500,0.65792,2800
# t+170s — GBPUSD level 3 size doubles
55,FENICS,GBPUSD,1742900570000000000,1.27328,12000,1.27392,11000
# t+180s — NZDUSD level 5 bid deleted
56,FENICS,NZDUSD,1742900580000000000,0.60075,0,0.60178,8000
# t+192s — AUDUSD rapid uptick (4 in 4ms)
57,FENICS,AUDUSD,1742900592000000000,0.65780,3200,0.65795,2600
58,FENICS,AUDUSD,1742900592001000000,0.65782,3000,0.65797,2400
59,FENICS,AUDUSD,1742900592002000000,0.65785,2800,0.65800,2200
60,FENICS,AUDUSD,1742900592004000000,0.65788,2600,0.65802,2000
# t+205s — GBPUSD level 2 ask pulled
61,FENICS,GBPUSD,1742900605000000000,1.27335,7000,1.27385,0
# t+215s — NZDUSD level 5 bid restored
62,FENICS,NZDUSD,1742900615000000000,0.60078,11000,0.60178,8000
# t+222s — GBPUSD level 2 ask restored
63,FENICS,GBPUSD,1742900622000000000,1.27335,7000,1.27382,5500
# t+235s — AUDUSD settling, full 5-level re-snapshot
64,FENICS,AUDUSD,1742900635000000000,0.65780,3000,0.65800,2500
65,FENICS,AUDUSD,1742900635100000000,0.65770,5000,0.65810,4500
66,FENICS,AUDUSD,1742900635200000000,0.65760,8000,0.65820,7000
67,FENICS,AUDUSD,1742900635300000000,0.65750,10000,0.65830,9000
68,FENICS,AUDUSD,1742900635400000000,0.65740,13000,0.65840,12000
# t+250s — NZDUSD level 1 size spike
69,FENICS,NZDUSD,1742900650000000000,0.60130,8000,0.60140,7000
# t+260s — GBPUSD final ticks
70,FENICS,GBPUSD,1742900660000000000,1.27348,4000,1.27370,3500
# ── seq 71 MISSING (simulates lost UDP datagram) ────────────────────────────
# t+275s — AUDUSD final update (receiver should detect gap: expected 71, got 72)
72,FENICS,AUDUSD,1742900675000000000,0.65782,3200,0.65798,2600
# t+285s — NZDUSD final update
73,FENICS,NZDUSD,1742900685000000000,0.60125,2500,0.60142,2200
# t+298s — GBPUSD closing tick
74,FENICS,GBPUSD,1742900698000000000,1.27350,3500,1.27370,3000
